user_account,balance_ether,balance_value,total_transactions,sent,received,n_contracts_sent,n_contracts_received,classification
0xb2a48f542dc56b89b24c04076cbe565b3dc58e7b,0.2046195934022404,80.02,611987,1902,1478,0,0,1
0xdcb5bad4538de5b2cdc6f42ab1227fd99a45a544,0.0,0.0,14,0,1,1,0,0
0x1a1998efb1d40e025cba7d7f74719dabd389c512,0.00564324294,2.21,44,0,2,2,0,0
0xcb72203b105b9478cfba553bb85a4ab6b9208d59,0.0,0.0,5,0,1,1,0,0
0xa7488820e91519a7dc3d341571a6a43b796ddff8,0.0003964935841063,0.16,168017,3189,2255,965,0,0
0x9c534adaa5c07382372c6e8b4cf7915c9881b277,0.0,0.0,874,0,23,14,0,0
0xfe1b558501737a26efaa062275db60008e659538,4.972398266796518,1945.9,83296,0,1129,1129,0,0
0x5be1bfc0b1f01f32178d46abf70bb5ff5c4e425a,29.871688881569533,11689.99,62719,0,203,0,0,0
0x9f10a91e54138629e5be5b8abf021f7dd805abaf,0.2420671792445702,94.73,3063,0,60,60,0,0
0xe9cc10c443e21c3f4f036f1e6359865878000050,0.0977424695109092,38.25,66,0,4,4,0,0
0xd55548ab0d09cf2d6971c8c429d213ae3f50adbb,0.019596097988119,7.67,936,0,1,1,0,0
0xaf6532a62c7c7c951129cd55078b19216e81dad9,0.5167878547066844,202.24,93779,1,2010,2010,0,0
0xae97a52e821589ca0eaf35442977990f2c3eec60,0.003871175458,1.51,4,0,1,1,0,0
0x78318558dfe50e44a0f30fcb1d2349c6fabd245a,0.0,0.0,8,0,1,0,0,0
0x73d97ab230c3a2fd17884efacc8f26806f3cb303,0.0005904557019751,0.23,28209,0,532,532,0,0
0x8bc3da587def887b5c822105729ee1d6af05a5ca,43.18668375410877,16900.68,930245,0,5544,5544,0,0
0xcdcadf0279ee021a0c40a31ac10fa69e028e21d0,0.1053366772135422,41.22,2658,0,42,36,0,0
0x0ab50229259f4f25518e93aca5ba3ce0b836a2c6,0.0,0.0,2,0,1,0,0,0
0x64587a5bfaee0fdaa9e805989e522ad45416f40c,3.1420659324036e-05,0.01,67,0,1,1,0,0
0x7bbef2146cc7b6c4f4750817f1ad78ae9d1407ae,0.003871175458,1.51,4,0,1,1,0,0
0x400463516b26fb08b64ef7ec3fc9c001f1659c98,0.0,0.0,126,0,3,2,0,0
0x592893fb2cd05969d25c4331df9c2b8bb22432ab,0.00195,0.76,3,0,1,0,0,0
0x5026aa0877a63218967d5d5821fc232cf0fdc1ec,0.00501264334,1.96,110,0,5,5,0,0
0x503ba0dd1a31e5faf94500d3d2f995fc8334971e,0.00069888688,0.27,44,0,4,4,0,0
0xce60a65160e6dd97c36255dbfbab41e52acf87a7,0.000114104,0.04,2,0,1,1,0,0
0x5022033ea1829202eed080c139663c8dd65472dc,0.00052903354,0.21,105,0,4,4,0,0
0x502f2f83a63b696c854bacdfda12024ec673ab1f,0.00070347488,0.28,44,0,4,4,0,0
0x5448523a47adf5b2b41027dbb9c80808e20cc4c7,0.004219785855829,1.65,34,0,2,0,0,0
0x8b65216076cbeb9ca2538693961b5e4e1858aaeb,0.0,0.0,4411,0,260,260,0,0
0x3003ed660ca7056ea3f4f9a613cb3246e8c2744c,0.0002205086740732,0.09,325,0,11,11,0,0
0xbaff685683f3658d6f848d37e938a3d4b847c08e,0.00216584,0.85,10834,0,473,473,0,0
0x4245248014eb561a6c109fb7791f352585124628,0.00210912,0.83,7843,0,411,411,0,0
0xb539b0107628089e40b6e4053eb291bbf078eda7,0.00182968,0.72,7847,0,407,407,0,0
0x320968871e75d523a34bf25912cd08d83fb73707,0.0,0.0,5,0,1,0,0,0
0xc7aae15eb575c4541c68f55a78bfc999bd49283b,0.00155,0.61,7839,1,385,385,0,0
0xd0cdbc7e7014d89fd7d91f549aa0a60b94919a60,0.00205928,0.81,10858,1,494,494,0,0
0xd7876296ce63d5cd171afca0ecfd20b8ded51718,0.0011840951273594,0.46,29,0,1,0,0,0
0x760345ad7e3fc457a591c8516fd4b14edeb45fe6,0.00173814,0.68,7842,0,413,413,0,0
0xbfe4aa1c5d39f03e1682aa6d4a73cd0816f2c662,0.00188464,0.74,7843,0,416,416,0,0
0x5034e0aabe28fb56472a8501bc43f50a8787b364,0.00184948,0.72,7845,0,408,408,0,0
0x246af9c3abeb605b3f31b4dbfd95271cc4052723,0.00190058,0.74,7844,0,442,442,0,0
